[A:thread] Worker pinned host=0 client=1 -> cpu=1 (pid=252989)
[A:thread] Worker pinned host=0 client=2 -> cpu=2 (pid=252990)
[A:thread] Worker pinned host=0 client=3 -> cpu=3 (pid=252991)
[A:thread] Worker pinned host=0 client=4 -> cpu=4 (pid=252992)
[A:thread] Worker pinned host=0 client=5 -> cpu=5 (pid=252993)
[A:thread] Worker pinned host=0 client=6 -> cpu=6 (pid=252994)
[A:thread] Worker pinned host=0 client=7 -> cpu=7 (pid=252995)
[A:thread] Worker pinned host=0 client=8 -> cpu=8 (pid=252996)
[A:thread] Worker pinned host=0 client=9 -> cpu=9 (pid=252997)
[A:thread] Worker pinned host=0 client=10 -> cpu=10 (pid=252998)
[A:thread] Worker pinned host=0 client=11 -> cpu=11 (pid=252999)
[A:thread] Worker pinned host=0 client=12 -> cpu=12 (pid=253000)
[A:thread] Worker pinned host=0 client=13 -> cpu=13 (pid=253001)
[A:thread] Worker pinned host=0 client=14 -> cpu=14 (pid=253002)
[A:thread] Worker pinned host=0 client=15 -> cpu=15 (pid=253003)
[A:thread] Worker pinned host=0 client=16 -> cpu=16 (pid=253004)
[A:thread] Worker pinned host=0 client=17 -> cpu=17 (pid=253005)
[A:thread] Worker pinned host=0 client=18 -> cpu=18 (pid=253006)
[A:thread] Worker pinned host=0 client=19 -> cpu=19 (pid=253007)
[A:thread] Worker pinned host=0 client=20 -> cpu=20 (pid=253008)
[A:thread] Worker pinned host=0 client=21 -> cpu=21 (pid=253009)
[A:thread] Worker pinned host=0 client=22 -> cpu=22 (pid=253010)
[A:thread] Worker pinned host=0 client=23 -> cpu=23 (pid=253011)
[A:thread] Worker pinned host=0 client=24 -> cpu=24 (pid=253012)
[A:thread] Worker pinned host=0 client=25 -> cpu=25 (pid=253013)
[A:thread] Worker pinned host=0 client=26 -> cpu=26 (pid=253014)
[A:thread] Worker pinned host=0 client=27 -> cpu=27 (pid=253015)
[A:thread] Worker pinned host=0 client=28 -> cpu=28 (pid=253016)
[A:thread] Worker pinned host=0 client=29 -> cpu=29 (pid=253017)
[A:thread] Worker pinned host=0 client=30 -> cpu=30 (pid=253018)
[A:thread] Worker pinned host=0 client=31 -> cpu=31 (pid=253019)
[A:thread] Worker pinned host=0 client=32 -> cpu=32 (pid=253020)
[A:thread] Worker pinned host=0 client=33 -> cpu=33 (pid=253021)
[A:thread] Worker pinned host=0 client=34 -> cpu=34 (pid=253022)
[A:thread] Worker pinned host=0 client=35 -> cpu=35 (pid=253023)
[A:thread] Worker pinned host=0 client=36 -> cpu=36 (pid=253024)
[A:thread] Worker pinned host=0 client=37 -> cpu=37 (pid=253025)
[A:thread] Worker pinned host=0 client=38 -> cpu=38 (pid=253026)
[A:thread] Worker pinned host=0 client=39 -> cpu=39 (pid=253027)
[A:thread] Worker pinned host=0 client=40 -> cpu=40 (pid=253028)
[A:thread] Worker pinned host=0 client=41 -> cpu=41 (pid=253029)
[A:thread] Worker pinned host=0 client=42 -> cpu=42 (pid=253030)
[A:thread] Worker pinned host=0 client=43 -> cpu=43 (pid=253031)
[A:thread] Worker pinned host=0 client=44 -> cpu=44 (pid=253032)
[A:thread] Worker pinned host=0 client=45 -> cpu=45 (pid=253033)
[A:thread] Worker pinned host=0 client=46 -> cpu=46 (pid=253034)
[A:thread] Worker pinned host=0 client=47 -> cpu=47 (pid=253035)
[A:thread] Worker pinned host=0 client=48 -> cpu=48 (pid=253036)
[A:thread] Worker pinned host=0 client=49 -> cpu=49 (pid=253037)
[A:thread] Worker pinned host=0 client=50 -> cpu=50 (pid=253038)
[A:thread] Worker pinned host=0 client=51 -> cpu=51 (pid=253039)
[A:thread] Worker pinned host=0 client=52 -> cpu=52 (pid=253040)
[A:thread] Worker pinned host=0 client=53 -> cpu=53 (pid=253041)
[A:thread] Worker pinned host=0 client=54 -> cpu=54 (pid=253042)
[A:thread] Worker pinned host=0 client=55 -> cpu=55 (pid=253043)
[A:thread] Worker pinned host=0 client=56 -> cpu=56 (pid=253044)
[A:thread] Worker pinned host=0 client=57 -> cpu=57 (pid=253045)
[A:thread] Worker pinned host=0 client=58 -> cpu=58 (pid=253046)
[A:thread] Worker pinned host=0 client=59 -> cpu=59 (pid=253047)
[A:thread] Worker pinned host=0 client=60 -> cpu=60 (pid=253048)
[A:thread] Worker pinned host=0 client=61 -> cpu=61 (pid=253049)
[A:thread] Worker pinned host=0 client=62 -> cpu=62 (pid=253050)
[A:thread] Worker pinned host=0 client=0 -> cpu=0 (pid=252988)
[A:thread] Worker pinned host=0 client=63 -> cpu=63 (pid=253051)
[A:thread] WriteReceiver pid=252988 tid=139719988999872 pinned cpu=65 (host_id=0)
[A:thread] ReadReceiver pid=252988 tid=139719980607168 pinned cpu=67 (host_id=0)
[A:thread] InvalReceiver pid=252988 tid=139719972214464 pinned cpu=69 (host_id=0)
[A:tls] worker host=0 client=61 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=57 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=39 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=48 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=46 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=50 entries=1024 (~1088 KiB)
[A:thread] WriteSender pid=252988 tid=139719963821760 pinned cpu=64 (host_id=0)
[A:tls] worker host=0 client=41 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=7 entries=1024 (~1088 KiB)
[A:sender] kind=0 policy=P0 K=16 T_us=100 host_id=0
[A:tls] worker host=0 client=15 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=62 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=55 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=31 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=51 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=1 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=38 entries=1024 (~1088 KiB)
[A:thread] ReadSender pid=252988 tid=139719955429056 pinned cpu=66 (host_id=0)
[A:sender] kind=1 policy=P0 K=16 T_us=100 host_id=0
[A:tls] worker host=0 client=30 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=14 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=3 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=20 entries=1024 (~1088 KiB)
[A:thread] InvalSender pid=252988 tid=139719947036352 pinned cpu=68 (host_id=0)
[A:tls] worker host=0 client=12 entries=1024 (~1088 KiB)
[A:sender] kind=2 policy=P0 K=16 T_us=100 host_id=0
[A:tls] worker host=0 client=18 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=8 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=36 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=32 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=35 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=24 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=11 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=0 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=19 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=22 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=23 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=43 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=17 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=56 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=47 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=63 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=6 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=45 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=53 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=54 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=52 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=26 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=10 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=25 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=59 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=49 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=4 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=60 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=42 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=29 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=44 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=5 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=2 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=40 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=27 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=9 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=33 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=58 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=28 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=34 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=13 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=21 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=16 entries=1024 (~1088 KiB)
