[A:thread] Worker pinned host=1 client=1 -> cpu=1 (pid=252572)
[A:thread] Worker pinned host=1 client=2 -> cpu=2 (pid=252573)
[A:thread] Worker pinned host=1 client=3 -> cpu=3 (pid=252574)
[A:thread] Worker pinned host=1 client=4 -> cpu=4 (pid=252575)
[A:thread] Worker pinned host=1 client=5 -> cpu=5 (pid=252576)
[A:thread] Worker pinned host=1 client=6 -> cpu=6 (pid=252577)
[A:thread] Worker pinned host=1 client=7 -> cpu=7 (pid=252578)
[A:thread] Worker pinned host=1 client=8 -> cpu=8 (pid=252579)
[A:thread] Worker pinned host=1 client=9 -> cpu=9 (pid=252580)
[A:thread] Worker pinned host=1 client=10 -> cpu=10 (pid=252581)
[A:thread] Worker pinned host=1 client=11 -> cpu=11 (pid=252582)
[A:thread] Worker pinned host=1 client=12 -> cpu=12 (pid=252583)
[A:thread] Worker pinned host=1 client=13 -> cpu=13 (pid=252584)
[A:thread] Worker pinned host=1 client=14 -> cpu=14 (pid=252585)
[A:thread] Worker pinned host=1 client=15 -> cpu=15 (pid=252586)
[A:thread] Worker pinned host=1 client=16 -> cpu=16 (pid=252587)
[A:thread] Worker pinned host=1 client=17 -> cpu=17 (pid=252588)
[A:thread] Worker pinned host=1 client=18 -> cpu=18 (pid=252589)
[A:thread] Worker pinned host=1 client=19 -> cpu=19 (pid=252590)
[A:thread] Worker pinned host=1 client=20 -> cpu=20 (pid=252591)
[A:thread] Worker pinned host=1 client=21 -> cpu=21 (pid=252592)
[A:thread] Worker pinned host=1 client=23 -> cpu=23 (pid=252594)
[A:thread] Worker pinned host=1 client=22 -> cpu=22 (pid=252593)
[A:thread] Worker pinned host=1 client=24 -> cpu=24 (pid=252595)
[A:thread] Worker pinned host=1 client=25 -> cpu=25 (pid=252596)
[A:thread] Worker pinned host=1 client=26 -> cpu=26 (pid=252597)
[A:thread] Worker pinned host=1 client=27 -> cpu=27 (pid=252598)
[A:thread] Worker pinned host=1 client=28 -> cpu=28 (pid=252599)
[A:thread] Worker pinned host=1 client=29 -> cpu=29 (pid=252600)
[A:thread] Worker pinned host=1 client=30 -> cpu=30 (pid=252601)
[A:thread] Worker pinned host=1 client=31 -> cpu=31 (pid=252602)
[A:thread] Worker pinned host=1 client=32 -> cpu=32 (pid=252603)
[A:thread] Worker pinned host=1 client=33 -> cpu=33 (pid=252604)
[A:thread] Worker pinned host=1 client=34 -> cpu=34 (pid=252605)
[A:thread] Worker pinned host=1 client=35 -> cpu=35 (pid=252606)
[A:thread] Worker pinned host=1 client=36 -> cpu=36 (pid=252607)
[A:thread] Worker pinned host=1 client=37 -> cpu=37 (pid=252608)
[A:thread] Worker pinned host=1 client=38 -> cpu=38 (pid=252609)
[A:thread] Worker pinned host=1 client=39 -> cpu=39 (pid=252610)
[A:thread] Worker pinned host=1 client=40 -> cpu=40 (pid=252611)
[A:thread] Worker pinned host=1 client=41 -> cpu=41 (pid=252612)
[A:thread] Worker pinned host=1 client=42 -> cpu=42 (pid=252613)
[A:thread] Worker pinned host=1 client=43 -> cpu=43 (pid=252614)
[A:thread] Worker pinned host=1 client=44 -> cpu=44 (pid=252615)
[A:thread] Worker pinned host=1 client=45 -> cpu=45 (pid=252616)
[A:thread] Worker pinned host=1 client=46 -> cpu=46 (pid=252617)
[A:thread] Worker pinned host=1 client=47 -> cpu=47 (pid=252618)
[A:thread] Worker pinned host=1 client=48 -> cpu=48 (pid=252619)
[A:thread] Worker pinned host=1 client=49 -> cpu=49 (pid=252620)
[A:thread] Worker pinned host=1 client=50 -> cpu=50 (pid=252621)
[A:thread] Worker pinned host=1 client=51 -> cpu=51 (pid=252622)
[A:thread] Worker pinned host=1 client=52 -> cpu=52 (pid=252623)
[A:thread] Worker pinned host=1 client=53 -> cpu=53 (pid=252624)
[A:thread] Worker pinned host=1 client=54 -> cpu=54 (pid=252625)
[A:thread] Worker pinned host=1 client=55 -> cpu=55 (pid=252626)
[A:thread] Worker pinned host=1 client=56 -> cpu=56 (pid=252627)
[A:thread] Worker pinned host=1 client=57 -> cpu=57 (pid=252628)
[A:thread] Worker pinned host=1 client=58 -> cpu=58 (pid=252629)
[A:thread] Worker pinned host=1 client=59 -> cpu=59 (pid=252630)
[A:thread] Worker pinned host=1 client=60 -> cpu=60 (pid=252631)
[A:thread] Worker pinned host=1 client=61 -> cpu=61 (pid=252632)
[A:thread] Worker pinned host=1 client=0 -> cpu=0 (pid=252571)
[A:thread] Worker pinned host=1 client=62 -> cpu=62 (pid=252633)
[A:thread] Worker pinned host=1 client=63 -> cpu=63 (pid=252634)
[A:thread] WriteReceiver pid=252571 tid=140200511096512 pinned cpu=65 (host_id=1)
[A:thread] WriteSender pid=252571 tid=140200485918400 pinned cpu=64 (host_id=1)
[A:sender] kind=0 policy=P0 K=16 T_us=100 host_id=1
[A:thread] ReadSender pid=252571 tid=140200477525696 pinned cpu=66 (host_id=1)
[A:sender] kind=1 policy=P0 K=16 T_us=100 host_id=1
[A:thread] InvalSender pid=252571 tid=140200469132992 pinned cpu=68 (host_id=1)
[A:sender] kind=2 policy=P0 K=16 T_us=100 host_id=1
[A:thread] ReadReceiver pid=252571 tid=140200502703808 pinned cpu=67 (host_id=1)
[A:thread] InvalReceiver pid=252571 tid=140200494311104 pinned cpu=69 (host_id=1)
[A:tls] worker host=1 client=0 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=17 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=23 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=18 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=22 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=6 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=20 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=32 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=1 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=40 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=35 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=39 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=7 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=15 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=4 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=33 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=10 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=26 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=8 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=21 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=31 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=38 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=25 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=14 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=19 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=27 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=2 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=16 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=42 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=28 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=30 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=36 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=3 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=12 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=37 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=24 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=41 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=5 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=11 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=29 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=34 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=9 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=13 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=46 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=45 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=43 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=50 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=44 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=48 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=47 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=49 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=52 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=53 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=51 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=54 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=55 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=63 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=58 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=56 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=62 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=57 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=61 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=59 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=60 entries=1024 (~1088 KiB)
