[A:cfg] ring_sharding T=64 N=4 -> shards=16 block=4 routing=worker_id
[A:thread] Worker pinned host=1 client=1 -> cpu=1 (pid=48880)
[A:thread] Worker pinned host=1 client=2 -> cpu=2 (pid=48881)
[A:thread] Worker pinned host=1 client=3 -> cpu=3 (pid=48882)
[A:thread] Worker pinned host=1 client=4 -> cpu=4 (pid=48883)
[A:thread] Worker pinned host=1 client=5 -> cpu=5 (pid=48884)
[A:thread] Worker pinned host=1 client=6 -> cpu=6 (pid=48885)
[A:thread] Worker pinned host=1 client=7 -> cpu=7 (pid=48886)
[A:thread] Worker pinned host=1 client=8 -> cpu=8 (pid=48887)
[A:thread] Worker pinned host=1 client=9 -> cpu=9 (pid=48888)
[A:thread] Worker pinned host=1 client=10 -> cpu=10 (pid=48889)
[A:thread] Worker pinned host=1 client=11 -> cpu=11 (pid=48890)
[A:thread] Worker pinned host=1 client=12 -> cpu=12 (pid=48892)
[A:thread] Worker pinned host=1 client=13 -> cpu=13 (pid=48893)
[A:thread] Worker pinned host=1 client=14 -> cpu=14 (pid=48894)
[A:thread] Worker pinned host=1 client=15 -> cpu=15 (pid=48895)
[A:thread] Worker pinned host=1 client=16 -> cpu=16 (pid=48896)
[A:thread] Worker pinned host=1 client=17 -> cpu=17 (pid=48897)
[A:thread] Worker pinned host=1 client=18 -> cpu=18 (pid=48898)
[A:thread] Worker pinned host=1 client=19 -> cpu=19 (pid=48899)
[A:thread] Worker pinned host=1 client=20 -> cpu=20 (pid=48901)
[A:thread] Worker pinned host=1 client=21 -> cpu=21 (pid=48902)
[A:thread] Worker pinned host=1 client=22 -> cpu=22 (pid=48903)
[A:thread] Worker pinned host=1 client=23 -> cpu=23 (pid=48904)
[A:thread] Worker pinned host=1 client=24 -> cpu=24 (pid=48905)
[A:thread] Worker pinned host=1 client=25 -> cpu=25 (pid=48906)
[A:thread] Worker pinned host=1 client=26 -> cpu=26 (pid=48907)
[A:thread] Worker pinned host=1 client=27 -> cpu=27 (pid=48908)
[A:thread] Worker pinned host=1 client=28 -> cpu=28 (pid=48909)
[A:thread] Worker pinned host=1 client=29 -> cpu=29 (pid=48910)
[A:thread] Worker pinned host=1 client=30 -> cpu=30 (pid=48911)
[A:thread] Worker pinned host=1 client=31 -> cpu=31 (pid=48912)
[A:thread] Worker pinned host=1 client=32 -> cpu=32 (pid=48913)
[A:thread] Worker pinned host=1 client=33 -> cpu=33 (pid=48914)
[A:thread] Worker pinned host=1 client=34 -> cpu=34 (pid=48915)
[A:thread] Worker pinned host=1 client=35 -> cpu=35 (pid=48916)
[A:thread] Worker pinned host=1 client=36 -> cpu=36 (pid=48917)
[A:thread] Worker pinned host=1 client=37 -> cpu=37 (pid=48918)
[A:thread] Worker pinned host=1 client=38 -> cpu=38 (pid=48919)
[A:thread] Worker pinned host=1 client=39 -> cpu=39 (pid=48920)
[A:thread] Worker pinned host=1 client=40 -> cpu=40 (pid=48921)
[A:thread] Worker pinned host=1 client=41 -> cpu=41 (pid=48922)
[A:thread] Worker pinned host=1 client=42 -> cpu=42 (pid=48923)
[A:thread] Worker pinned host=1 client=43 -> cpu=43 (pid=48924)
[A:thread] Worker pinned host=1 client=44 -> cpu=44 (pid=48925)
[A:thread] Worker pinned host=1 client=45 -> cpu=45 (pid=48926)
[A:thread] Worker pinned host=1 client=46 -> cpu=46 (pid=48927)
[A:thread] Worker pinned host=1 client=47 -> cpu=47 (pid=48928)
[A:thread] Worker pinned host=1 client=48 -> cpu=48 (pid=48929)
[A:thread] Worker pinned host=1 client=49 -> cpu=49 (pid=48930)
[A:thread] Worker pinned host=1 client=50 -> cpu=50 (pid=48931)
[A:thread] Worker pinned host=1 client=51 -> cpu=51 (pid=48933)
[A:thread] Worker pinned host=1 client=52 -> cpu=52 (pid=48934)
[A:thread] Worker pinned host=1 client=53 -> cpu=53 (pid=48936)
[A:thread] Worker pinned host=1 client=54 -> cpu=54 (pid=48937)
[A:thread] Worker pinned host=1 client=55 -> cpu=55 (pid=48939)
[A:thread] Worker pinned host=1 client=56 -> cpu=56 (pid=48940)
[A:thread] Worker pinned host=1 client=57 -> cpu=57 (pid=48941)
[A:thread] Worker pinned host=1 client=58 -> cpu=58 (pid=48942)
[A:thread] Worker pinned host=1 client=59 -> cpu=59 (pid=48943)
[A:thread] Worker pinned host=1 client=60 -> cpu=60 (pid=48944)
[A:thread] Worker pinned host=1 client=61 -> cpu=61 (pid=48945)
[A:thread] Worker pinned host=1 client=62 -> cpu=62 (pid=48946)
[A:thread] Worker pinned host=1 client=0 -> cpu=0 (pid=48863)
[A:thread] Worker pinned host=1 client=63 -> cpu=63 (pid=48947)
[A:thread] WriteRecv0 pid=48863 tid=139976182052544 cpu=64 host=1 rings=[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]
[A:thread] ReadRecv0 pid=48863 tid=139976173659840 cpu=65 host=1 rings=[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]
[A:thread] InvalRecv0 pid=48863 tid=139976165267136 cpu=66 host=1 rings=[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]
[A:thread] ReservHandler pid=48863 tid=139976115246784 pinned cpu=85 (host_id=1)
[A:tls] worker host=1 client=54 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=3 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=36 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=42 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=12 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=39 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=29 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=17 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=2 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=41 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=19 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=38 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=20 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=21 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=25 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=0 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=37 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=53 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=8 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=22 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=5 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=9 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=27 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=52 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=10 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=32 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=49 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=46 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=13 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=47 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=55 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=35 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=48 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=60 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=1 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=34 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=14 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=26 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=15 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=33 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=28 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=43 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=59 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=56 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=62 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=16 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=57 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=40 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=61 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=58 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=11 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=51 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=50 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=31 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=44 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=45 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=18 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=6 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=24 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=30 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=63 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=4 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=7 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=23 entries=1024 (~1088 KiB)
# PATH host=1 label=after_LOAD tid=139976182265984 r0_tls=0 r2hit=0 r2miss_local=0 r3=0 cpool_ins_r=0 local_w=999071 fwd_w=0 local_w_blk_fwd=0 local_w_stg_fwd=0 cpool_ins_w=999066 cp_evict=0 cp_set_stale=0 cp_lru_evict=484942 rh_served=0
