[A:thread] Worker pinned host=0 client=1 -> cpu=1 (pid=214662)
[A:thread] Worker pinned host=0 client=2 -> cpu=2 (pid=214663)
[A:thread] Worker pinned host=0 client=3 -> cpu=3 (pid=214664)
[A:thread] Worker pinned host=0 client=4 -> cpu=4 (pid=214665)
[A:thread] Worker pinned host=0 client=5 -> cpu=5 (pid=214666)
[A:thread] Worker pinned host=0 client=6 -> cpu=6 (pid=214667)
[A:thread] Worker pinned host=0 client=7 -> cpu=7 (pid=214668)
[A:thread] Worker pinned host=0 client=8 -> cpu=8 (pid=214669)
[A:thread] Worker pinned host=0 client=9 -> cpu=9 (pid=214670)
[A:thread] Worker pinned host=0 client=10 -> cpu=10 (pid=214671)
[A:thread] Worker pinned host=0 client=11 -> cpu=11 (pid=214672)
[A:thread] Worker pinned host=0 client=12 -> cpu=12 (pid=214673)
[A:thread] Worker pinned host=0 client=13 -> cpu=13 (pid=214674)
[A:thread] Worker pinned host=0 client=14 -> cpu=14 (pid=214675)
[A:thread] Worker pinned host=0 client=15 -> cpu=15 (pid=214676)
[A:thread] Worker pinned host=0 client=16 -> cpu=16 (pid=214677)
[A:thread] Worker pinned host=0 client=17 -> cpu=17 (pid=214678)
[A:thread] Worker pinned host=0 client=18 -> cpu=18 (pid=214679)
[A:thread] Worker pinned host=0 client=19 -> cpu=19 (pid=214680)
[A:thread] Worker pinned host=0 client=20 -> cpu=20 (pid=214681)
[A:thread] Worker pinned host=0 client=21 -> cpu=21 (pid=214682)
[A:thread] Worker pinned host=0 client=22 -> cpu=22 (pid=214683)
[A:thread] Worker pinned host=0 client=23 -> cpu=23 (pid=214684)
[A:thread] Worker pinned host=0 client=24 -> cpu=24 (pid=214685)
[A:thread] Worker pinned host=0 client=25 -> cpu=25 (pid=214686)
[A:thread] Worker pinned host=0 client=26 -> cpu=26 (pid=214687)
[A:thread] Worker pinned host=0 client=27 -> cpu=27 (pid=214688)
[A:thread] Worker pinned host=0 client=28 -> cpu=28 (pid=214689)
[A:thread] Worker pinned host=0 client=29 -> cpu=29 (pid=214690)
[A:thread] Worker pinned host=0 client=30 -> cpu=30 (pid=214691)
[A:thread] Worker pinned host=0 client=31 -> cpu=31 (pid=214692)
[A:thread] Worker pinned host=0 client=32 -> cpu=32 (pid=214693)
[A:thread] Worker pinned host=0 client=33 -> cpu=33 (pid=214694)
[A:thread] Worker pinned host=0 client=34 -> cpu=34 (pid=214695)
[A:thread] Worker pinned host=0 client=35 -> cpu=35 (pid=214696)
[A:thread] Worker pinned host=0 client=36 -> cpu=36 (pid=214697)
[A:thread] Worker pinned host=0 client=37 -> cpu=37 (pid=214698)
[A:thread] Worker pinned host=0 client=38 -> cpu=38 (pid=214699)
[A:thread] Worker pinned host=0 client=39 -> cpu=39 (pid=214700)
[A:thread] Worker pinned host=0 client=40 -> cpu=40 (pid=214701)
[A:thread] Worker pinned host=0 client=41 -> cpu=41 (pid=214702)
[A:thread] Worker pinned host=0 client=42 -> cpu=42 (pid=214703)
[A:thread] Worker pinned host=0 client=43 -> cpu=43 (pid=214704)
[A:thread] Worker pinned host=0 client=44 -> cpu=44 (pid=214705)
[A:thread] Worker pinned host=0 client=45 -> cpu=45 (pid=214706)
[A:thread] Worker pinned host=0 client=46 -> cpu=46 (pid=214707)
[A:thread] Worker pinned host=0 client=47 -> cpu=47 (pid=214708)
[A:thread] Worker pinned host=0 client=48 -> cpu=48 (pid=214709)
[A:thread] Worker pinned host=0 client=49 -> cpu=49 (pid=214710)
[A:thread] Worker pinned host=0 client=50 -> cpu=50 (pid=214711)
[A:thread] Worker pinned host=0 client=51 -> cpu=51 (pid=214712)
[A:thread] Worker pinned host=0 client=52 -> cpu=52 (pid=214713)
[A:thread] Worker pinned host=0 client=53 -> cpu=53 (pid=214714)
[A:thread] Worker pinned host=0 client=54 -> cpu=54 (pid=214715)
[A:thread] Worker pinned host=0 client=55 -> cpu=55 (pid=214716)
[A:thread] Worker pinned host=0 client=56 -> cpu=56 (pid=214717)
[A:thread] Worker pinned host=0 client=57 -> cpu=57 (pid=214718)
[A:thread] Worker pinned host=0 client=58 -> cpu=58 (pid=214719)
[A:thread] Worker pinned host=0 client=59 -> cpu=59 (pid=214720)
[A:thread] Worker pinned host=0 client=60 -> cpu=60 (pid=214721)
[A:thread] Worker pinned host=0 client=61 -> cpu=61 (pid=214722)
[A:thread] Worker pinned host=0 client=62 -> cpu=62 (pid=214723)
[A:thread] Worker pinned host=0 client=0 -> cpu=0 (pid=214661)
[A:thread] Worker pinned host=0 client=63 -> cpu=63 (pid=214724)
[A:thread] WriteReceiver pid=214661 tid=139766441027264 pinned cpu=65 (host_id=0)
[A:thread] ReadReceiver pid=214661 tid=139766432634560 pinned cpu=67 (host_id=0)
[A:thread] InvalReceiver pid=214661 tid=139766424241856 pinned cpu=69 (host_id=0)
[A:thread] ReadSender pid=214661 tid=139766415849152 pinned cpu=66 (host_id=0)
[A:sender] kind=1 policy=P0 K=16 T_us=100 host_id=0
[A:thread] WriteSender pid=214661 tid=139766280484544 pinned cpu=64 (host_id=0)
[A:sender] kind=0 policy=P0 K=16 T_us=100 host_id=0
[A:thread] InvalSender pid=214661 tid=139766407456448 pinned cpu=68 (host_id=0)
[A:sender] kind=2 policy=P0 K=16 T_us=100 host_id=0
[A:tls] worker host=0 client=61 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=19 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=57 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=58 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=46 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=25 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=49 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=7 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=42 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=54 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=60 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=15 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=62 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=18 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=55 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=20 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=22 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=63 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=11 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=53 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=36 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=37 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=59 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=26 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=56 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=24 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=41 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=8 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=29 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=52 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=28 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=30 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=43 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=16 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=4 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=33 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=40 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=23 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=35 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=31 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=3 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=39 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=1 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=9 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=5 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=6 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=32 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=2 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=38 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=27 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=10 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=45 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=17 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=21 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=48 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=34 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=0 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=44 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=47 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=14 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=51 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=50 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=12 entries=1024 (~1088 KiB)
